ano_coleta,despesas_educ_percent,despesas_saude_per_capita,despesas_educ_total,despesas_saude_%pib,receita_trib_%pib,receita_excl_doa_%pib,ibrd_e_ida,pop_cresc_anual%,pib_cresc_per_capita_%pib,pib_deflator ,domestic_saude_despesas_%pib,pib_cresc_anual%,despesa_nac_bruta_%pib,pib_moeda_local
2003,20.8507,25.4379,24.9801,5.1691,16.877,21.7389,2741964000.0,2.7096,0.1809,51.8242,1.4884,2.9325,111.7326,1131782000000
2004,23.4095,27.527,26.6682,5.3449,16.877,21.7389,2882726000.0,2.7208,2.2832,55.5177,1.416,5.1043,110.3472,1274329000000
2005,22.5437,30.961,27.4693,5.3144,16.877,21.7389,2663224000.0,2.7392,3.045,58.2378,1.4827,5.9067,110.4293,1415725000000
2006,21.6778,40.9383,25.0814,5.8734,16.877,21.7389,2764089000.0,2.7579,3.5762,71.9413,1.4585,6.4725,109.2124,1862041000000
2007,25.8529,50.3219,23.95,5.9971,16.877,21.7389,2968119000.0,2.7686,3.9331,77.7897,1.5564,6.8507,109.9413,2151349000000
2008,30.028,55.4711,22.8187,6.0499,16.877,21.7389,3050475000.0,2.7673,-2.5034,89.5758,1.638,0.2323,110.6143,2483058000000
2009,34.2031,55.4607,21.6873,6.0278,16.877,21.7389,3156096000.0,2.7508,0.5039,100.0,1.6806,3.3069,110.7984,2863688000000
2010,38.3781,59.1698,20.556,6.1168,16.877,21.7389,3237614000.0,2.7226,5.4941,102.0917,1.7715,8.4057,112.1647,3169335000000
2011,42.5532,57.3874,19.2528,5.8117,16.877,21.7389,3388428000.0,2.6937,3.2881,113.1114,1.7938,6.1083,114.5232,3725918000000
2012,41.7632,64.8394,19.9239,5.6137,16.877,21.7389,3585785000.0,2.6627,1.8157,123.721,1.8193,4.5632,114.0667,4261370003300
2013,43.0705,67.8393,19.1357,5.5194,16.877,21.7389,3982522000.0,2.6185,3.1422,130.1158,1.8591,5.8787,114.9908,4745090000000
2014,43.1242,72.8889,17.081,5.4593,16.877,21.7389,4199127000.0,2.5594,2.6948,140.6139,2.0422,5.3571,116.2188,5402647460500
2015,41.7637,70.7257,16.6647,5.2194,16.2566,21.1996,4381759000.0,2.4919,3.1166,154.7104,2.1076,5.7185,114.4035,6284184900000
2016,41.7637,73.3969,17.3546,5.0186,16.1835,20.6162,4567712000.0,2.4211,3.3463,163.2982,2.1484,5.8789,110.0244,7022963100000
2017,41.7637,76.6103,17.7087,4.8025,15.6378,21.9682,5303104000.0,2.3568,2.3645,181.1662,2.0526,4.8057,113.5726,8165842200000
2018,41.7637,76.6103,19.104,4.8025,15.0851,19.6204,5801797000.0,2.3059,3.8949,185.5549,2.0526,6.3185,113.4158,8892110900000
2019,41.7637,76.6103,19.104,4.8025,15.0851,19.6204,5801797000.0,2.2719,2.9989,192.9048,2.0526,5.3657,112.9505,9740360000000
